playerId,season,팀명,AVG,G,AB,R,H,2B,3B,HR,RBI,SB,BB,HBP,SO,SLG,OBP,PA,TB,CS,SAC,SF,ERA,CG,SHO,W,L,SV,HLD,WPCT,TBF,NP,IP,ER
50105,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53103,2025,LG,0.107,22,28,5,3,0,0,0,2,7,3,0,6,0.107,0.194,,,,,,,,,,,,,,,,,
55116,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53104,2025,LG,0.298,31,47,11,14,2,0,0,3,2,8,1,5,0.34,0.411,,,,,,,,,,,,,,,,,
69100,2025,LG,0.289,129,336,40,97,16,2,1,38,10,,,,,,390,120,5,12,0,,,,,,,,,,,,
53168,2025,LG,0,8,4,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,
77263,2025,LG,,12,,,7,1,0,0,,,,,,,,,,,,,1.46,0,0,1,0,1,4,1,51,182,12 1/3,
66145,2025,LG,0.257,29,,19,26,,,4,,,21,1,15,,,,,,,,5.06,,,3,1,0,3,0.75,,,26 2/3,15
54107,2025,LG,0.286,37,49,12,14,6,0,0,3,3,5,1,13,0.408,0.364,,,,,,,,,,,,,,,,,
67504,2025,LG,0.182,13,11,0,2,0,0,0,1,1,,,,,,13,2,0,0,1,,,,,,,,,,,,
53144,2025,LG,0.214,12,42,7,9,2,0,2,5,2,7,0,12,0.405,0.327,,,,,,,,,,,,,,,,,
52105,2025,LG,0.2,7,5,0,1,0,0,0,1,0,,,,,,5,1,0,0,0,,,,,,,,,,,,
69105,2025,LG,0.29,65,193,28,56,5,0,4,29,0,28,8,37,0.378,0.398,,,,,,,,,,,,,,,,,
50115,2025,LG,0.228,37,57,11,13,1,0,0,2,1,9,1,7,0.246,0.343,,,,,,,,,,,,,,,,,
55167,2025,LG,,64,,,48,13,0,2,,,,,,,,,,,,,2.31,0,0,3,2,1,7,0.6,248,929,58 1/3,
68130,2025,LG,0.302,27,,21,29,,,2,,,20,0,19,,,,,,,,6.48,,,1,0,0,5,1,,,25,18
55129,2025,LG,0.21,16,,31,35,,,7,,,29,2,45,,,,,,,,5.44,,,4,2,0,2,0.667,,,44 2/3,27
64596,2025,LG,,6,,,8,3,0,0,,,,,,,,,,,,,12.46,0,0,0,0,0,0,-,26,108,4 1/3,
68109,2025,LG,0.233,18,,15,17,,,2,,,15,2,10,,,,,,,,6.52,,,1,1,0,1,0.5,,,19 1/3,14
55122,2025,LG,,2,,,2,0,0,2,,,,,,,,,,,,,5.4,0,0,0,0,0,0,-,7,31,1 2/3,
66162,2025,LG,0.2,16,15,3,3,0,0,1,1,0,,,,,,17,6,2,0,0,,,,,,,,,,,,
65411,2025,LG,,1,,,0,0,0,0,,,,,,,,,,,,,27,0,0,0,1,0,0,0,5,23,01월 03일,
62558,2025,LG,1,2,1,1,1,0,0,0,0,0,,,,,,2,1,0,0,0,,,,,,,,,,,,
51104,2025,LG,0.2,3,,5,1,,,0,,,7,1,0,,,,,,,,27,,,0,0,0,0,-,,,1 1/3,4
75867,2025,LG,,76,,,60,6,3,7,,,,,,,,,,,,,3.52,0,0,6,4,1,33,0.6,285,1203,69,
51154,2025,LG,,3,,,9,3,0,2,,,,,,,,,,,,,11.25,0,0,0,0,0,0,-,21,83,4,
76290,2025,LG,0.3,137,473,66,142,24,0,12,89,4,,,,,,541,202,0,0,1,,,,,,,,,,,,
54166,2025,LG,0.4,10,5,3,2,1,0,0,0,0,,,,,,6,3,0,0,0,,,,,,,,,,,,
51103,2025,LG,0.4,3,,9,6,,,0,,,5,1,3,,,,,,,,18,,,0,1,0,0,0,,,3,6
69102,2025,LG,0.279,138,506,91,141,21,1,24,108,3,,,,,,598,236,1,0,9,,,,,,,,,,,,
68119,2025,LG,0.31,132,464,57,144,20,2,3,70,4,,,,,,531,177,3,0,9,,,,,,,,,,,,
52121,2025,LG,0.167,21,30,5,5,0,0,2,4,0,,,,,,33,11,0,0,0,,,,,,,,,,,,
54123,2025,LG,0.143,7,14,4,2,1,0,0,0,0,0,2,6,0.214,0.25,,,,,,,,,,,,,,,,,
55164,2025,LG,0.269,38,52,12,14,2,0,2,13,0,,,,,,57,22,0,0,1,,,,,,,,,,,,
79365,2025,LG,0.255,136,444,57,113,25,0,22,75,4,,,,,,514,204,0,3,5,,,,,,,,,,,,
53139,2025,LG,,44,,,36,5,1,5,,,,,,,,,,,,,4.89,0,0,3,4,4,10,0.429,168,638,38 2/3,
51112,2025,LG,0.154,13,26,2,4,2,0,0,2,0,2,1,4,0.231,0.241,,,,,,,,,,,,,,,,,
55121,2025,LG,,2,,,0,0,0,0,,,,,,,,,,,,,13.5,0,0,0,0,0,0,-,9,35,1 1/3,
62415,2025,LG,0.28,141,435,79,122,18,2,3,43,49,,,,,,535,153,14,21,4,,,,,,,,,,,,
