team,playerId,name,등번호,생년월일,포지션,신장/체중,경력,입단 계약금,연봉,지명순위,입단년도
LG,69100,구본혁,No. 6,1997년 01월 11일,내야수(우투우타),177cm/75kg,중대초-잠신중-장충고-동국대-LG-상무,5000만원,13500만원,19 LG 2차 6라운드 55순위,19LG
LG,77263,김강률,No. 37,1988년 08월 28일,투수(우투우타),187cm/95kg,문촌초(일산리틀)-장성중-경기고-두산-상무-두산,8000만원,10000만원,07 두산 2차 4라운드 26순위,07두산
LG,66145,김대현,No. 12,1997년 03월 08일,투수(우투우타),188cm/100kg,홍연초(마포구리틀)-홍은중-선린인터넷고,27000만원,7500만원,16 LG 1차,16LG
LG,67504,김민수,No. 16,1998년 03월 18일,내야수(우투우타),184cm/97kg,서화초-동산중-제물포고-롯데-경찰-롯데,11000만원,6000만원,17 롯데 2차 2라운드 13순위,17롯데
LG,53144,김범석,No. 55,2004년 05월 21일,내야수(우투우타),178cm/110kg,김해삼성초-경남중-경남고,25000만원,4700만원,23 LG 1라운드 7순위,23LG
LG,52105,김성우,No. 44,2003년 11월 15일,포수(우투우타),180cm/85kg,성동초-건대부중-배재고,5000만원,3100만원,22 LG 2차 7라운드 67순위,24LG
LG,69105,김성진,No. 36,2000년 03월 17일,내야수(우투우타),183cm/100kg,수원신곡초-매향중-야탑고,5000만원,3300만원,19 LG 2차 7라운드 65순위,20LG
LG,55167,김영우,No. 67,2005년 01월 14일,투수(우투우타),185cm/90kg,양원초(서대문구리틀)-신월중-서울고,20000만원,3000만원,25 LG 1라운드 10순위,25LG
LG,68130,김영준,No. 35,1999년 01월 12일,투수(우투우타),185cm/90kg,인천연학초-선린중-선린인터넷고,25000만원,4200만원,18 LG 1차,18LG
LG,64596,김유영,No. 0,1994년 05월 02일,투수(좌투좌타),180cm/83kg,양정초-개성중-경남고-롯데-상무-롯데,20000만원,10500만원,14 롯데 1차,14롯데
LG,55122,김종운,No. 49,2006년 09월 11일,투수(우투우타),186cm/85kg,국산초(거제시리틀)-동강중-창원공고야구단,5000만원,3000만원,25 LG 7라운드 70순위,
LG,66162,김주성,No. 5,1998년 01월 30일,내야수(우투우타),180cm/81kg,수원신곡초-덕수중-휘문고,10000만원,3500만원,16 LG 2차 2라운드 14순위,16LG
LG,65411,김주온,No. 57,1996년 12월 08일,투수(우투우타),187cm/89kg,울산대현초-구미중-울산공고-SK-SSG,5000만원,3000만원,15 삼성 2차 7라운드 72순위,20SK
LG,62558,김준태,No. 47,1994년 07월 31일,포수(우투좌타),175cm/91kg,양정초-개성중-경남고-(영남사이버대)-롯데-상무-롯데-KT,,7500만원,12 롯데 육성선수,13롯데
LG,75867,김진성,No. 42,1985년 03월 07일,투수(우투우타),186cm/90kg,인헌초-성남중-성남서고-SK-NC,,33000만원,04 SK 2차 6라운드 42순위,05SK
LG,51154,김진수,No. 45,1998년 08월 31일,투수(우투우타),179cm/82kg,이세초-군산중-군산상고-중앙대,10000만원,3600만원,21 LG 2차 2라운드 17순위,21LG
LG,76290,김현수,No. 22,1988년 01월 12일,외야수(우투좌타),188cm/105kg,쌍문초-신일중-신일고-두산-볼티모어-필라델피아,,50000만원,06 두산 육성선수,06두산
LG,54166,김현종,No. 66,2004년 08월 04일,외야수(우투우타),186cm/85kg,상인천초-동인천중-인천고,15000만원,3200만원,24 LG 2라운드 18순위,24LG
LG,69102,문보경,No. 2,2000년 07월 19일,내야수(우투좌타),182cm/88kg,송중초(동대문구리틀)-덕수중-신일고,8000만원,41000만원,19 LG 2차 3라운드 25순위,21LG
LG,68119,문성주,No. 8,1997년 02월 20일,외야수(좌투좌타),175cm/78kg,포항서초-포항제철중-경북고-강릉영동대,3000만원,18000만원,18 LG 2차 10라운드 97순위,18LG
LG,52121,문정빈,No. 53,2003년 08월 15일,내야수(우투우타),186cm/90kg,가동초-잠신중-서울고,4000만원,3100만원,22 LG 2차 8라운드 77순위,25LG
